Narration,Category
rev-imps-212415370632-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212415372491-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212518356828-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212518362015-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212619368850-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212619372250-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212619372407-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212719374286-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-212719374448-mujahidul islam-fd rl-xxxxxxxxxx0275-transfer,IMPS BOUNCED
rev-imps-213715393649-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
rev-imps-213715395055-mujahidul islam-pu nb-xxxxxxxxx3752-transfer,IMPS BOUNCED
 rev:imps 044991800026404 ref  920517178645 ,IMPS BOUNCED
 rev:imps 044991800026404 ref  920517177853 ,IMPS BOUNCED
 rev:imps 21270100010977 ref  912422216495 ,IMPS BOUNCED
rev-imps-212516362407-purva online-utib- xxxxxxxxxxx3663-tr,IMPS BOUNCED
imps ret 209209372047 02/04/2022,IMPS BOUNCED
bytransfer-inb reversalofmoagmfpxo2-imps00034053612mxagmfpzy2transferfrom4597859162093-,IMPS BOUNCED
bytransfer-inb reversalofmoagmfpyv7-imps00034053593mxagmfpub1transferfrom4597859162093-,IMPS BOUNCED
by transfer/impsp2a rev 203013168374,IMPS BOUNCED
by transfer/impsp2a rev 203013168358,IMPS BOUNCED
by transfer/impsp2a rev 203012166595,IMPS BOUNCED
by transfer/impsp2a rev 203012166543,IMPS BOUNCED
rev-imps-130517393824-ram sajiwan chowbe y-cbin-xxxxxx6969-gift,IMPS BOUNCED
rev-imps-130517392141-ram sajiwan chowbe y-cbin-xxxxxx6969-1 nov,IMPS BOUNCED
rev-imps-130516344700-ram sajiwan chowbe y-cbin-xxxxxx6969-01 nov,IMPS BOUNCED
 rev:imps 626702010007414 ref  201014876792 ,IMPS BOUNCED
 rev:imps 626702010007414 ref  201014874779 ,IMPS BOUNCED
 rev:imps 1613001700059700 ref  135420859080 ,IMPS BOUNCED
 rev:imps 6537491416 ref  127412087860 ,IMPS BOUNCED
 rev:imps 6537491416 ref  127412086731 ,IMPS BOUNCED
 rev:imps 50423979844 ref  124313794181 ,IMPS BOUNCED
 rev:imps 50423979844 ref  124222251317 ,IMPS BOUNCED
 rev:imps 50423979844 ref  124120042631 ,IMPS BOUNCED
return-imps/119111154603/sk abdul s/punjab /xx4207,IMPS BOUNCED
return-imps/107617729863/ /punjab national /xx8242,IMPS BOUNCED
rev-imps-134213342255-manodeep traders-m ahb-xxxxxxx2922-ok,IMPS BOUNCED
rev-imps-132816348276-jain irrigation sy stem limited-sbin-xxxxxxxxxxxxxx1115-ok,IMPS BOUNCED
mb/imps/dr/rev-parvathi/ioba/**8879/parvathi /02/10/2021 15:18:19,IMPS BOUNCED
mb/imps/dr/rev-parvathi/ioba/**8879/parvathi /02/10/2021 15:17:51,IMPS BOUNCED
mb/imps/dr/rev-parvathi/ioba/**8879/parvathi /02/10/2021 15:17:24,IMPS BOUNCED
mb/imps/dr/rev-parvathi/ioba/**8879/parvathi /02/10/2021 15:16:36,IMPS BOUNCED
mb/imps/dr/rev-parvathi/ioba/**8879/500/01/10/2021 13:13:21,IMPS BOUNCED
imps/rev/p2a[733413256852][8850583096][bkdn0471168][116813011100],IMPS BOUNCED
rev-imps/p2a/119310007503/9180,IMPS BOUNCED
by transfer/imps/rev/120519659296/transferfrom97158000556,IMPS BOUNCED
 rev:impsref123821120734 imps-123821120741 ,IMPS BOUNCED
 rev:imps 10072003694 ref 219500031474(value date: 14-07-2022)  ,IMPS BOUNCED
imps-224512930211-phonepe private limi-y esb-xxxxxxxxxxx0025-r02 phonepe reversal for txn t22090210060625738769,IMPS BOUNCED
mb-imps-dr/rajeshaxis/utib/**5800/return pur/01/06/2022 ,IMPS BOUNCED
imps-222315373165-v yasmeen-idib-xxxxxx9 945-to chan money return,IMPS BOUNCED
imps ret 223320144917 21/08/2022,IMPS BOUNCED
 rev:imps 30300100010662 ref 210600604582(value date: 16-04- 2106006045882022) ,IMPS BOUNCED
 rev:imps 30300100010662 ref 210600607469(value date: 16-04-2022)  ,IMPS BOUNCED
mb/imps/dr/rev-anushaleem/icic/**3721/love/16/08/2022  ,IMPS BOUNCED
imps/222220298271/mahesh gha/icic/xx7509/return,IMPS BOUNCED
rev:imps 21270100011475 ref221917032581,IMPS BOUNCED
chhindwara return-imps/223409132623/manoj,IMPS BOUNCED
chhindwara return-imps/223409132641/manoj,IMPS BOUNCED
chhindwara return-imps/223409132654/manoj,IMPS BOUNCED
chhindwara return-imps/223509156981/manoj,IMPS BOUNCED
chhindwara return-imps/223509156965/manoj,IMPS BOUNCED
chhindwara return-imps/223509157010/manoj,IMPS BOUNCED
chhindwara return-imps/223509157016/manoj,IMPS BOUNCED
imps/p2a/220118056936/xxxxxxxxxx5888/return,IMPS BOUNCED
rev-imps-221715126817-khim raj basnet-kk bk-xxxxxx1617-pmnt,IMPS BOUNCED
rev-imps-221715330984-khim raj basnet-kk bk-xxxxxx1617-pmnt,IMPS BOUNCED
imps-218216090617-pavan madeneralu rev-i cic-xxxxxxxx1013-na,IMPS BOUNCED
imps-219511626925-pavan madeneralu rev-i cic-xxxxxxxx1013-na,IMPS BOUNCED
imps-220119128090-pavan madeneralu rev-i cic-xxxxxxxx1013-na,IMPS BOUNCED
mb/imps/dr/rev-mohammadakif/indb/**5042/bill/24/08/2022  ,IMPS BOUNCED
mb/imps/dr/rev-akifmohmmad/indb/**5042/bill/24/08/2022  ,IMPS BOUNCED
imps-rib/ft-rev/213822270213/325002016011879icic/numaishdreeses,IMPS BOUNCED
imps-rib/ft-rev/223010971955/325002016011879icic/numaishdreses,IMPS BOUNCED
rev-imps-206311307711-krishnadales-ibkl- xxxxxxxxxxxx0532-krishna,IMPS BOUNCED
rev-imps-224812310282-krishna salesh age ncy-ibkl-xxxxxxxxxxxx0416-krishna,IMPS BOUNCED
mb/imps/dr/rev-muthu/ioba/**1338//27/08/2022  ,IMPS BOUNCED
rev-imps-223423326660-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-223423333572-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
imps-224417316822-anil kumar yadav-hdfc- xxxxxxxxxx7446-return,IMPS BOUNCED
imps-226221344265-ram charan singh choud hary-sbin-xxxxxxx8993-return,IMPS BOUNCED
rev-imps-226314361687-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226318301131-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226401360538-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226413393455-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226413398323-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226413300358-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226418374980-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226423312085-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226615315183-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
rev-imps-226617307984-anchel enterprises private limited-icic-xxxxxxxx0681-purch ase,IMPS BOUNCED
imps-226922341067-ram charan singh choud hary-sbin-xxxxxxx8993-return,IMPS BOUNCED
imps-rev/221715555682/kkbk0005922/4112760845,IMPS BOUNCED
imps-rev/221715555755/kkbk0005922/4112760845,IMPS BOUNCED
imps-rev/222009690409/kkbk0005922/4112760845,IMPS BOUNCED
imps-rev/222010692298/kkbk0005922/4112760845,IMPS BOUNCED
imps-rev/222011697243/sbin0006038/30613321073,IMPS BOUNCED
imps-rev/223310350275/kkbk0005922/4112760845,IMPS BOUNCED
imps-rev/223310350685/kkbk0005922/4112760845,IMPS BOUNCED
imps-rev/223414403212/kkbk0005922/4112760845,IMPS BOUNCED
 rev:imps 3741940224 ref  218917412497 ,IMPS BOUNCED
 rev:imps 3741940224 ref  218917413773 ,IMPS BOUNCED
 rev:imps 302122300028273 ref  226319679743 ,IMPS BOUNCED
mb/imps/dr/rev-abhijeetdominik/barb/**0399//23/08/2022  ,IMPS BOUNCED
dmr rev 226614001868 9198355 akshay kum transfer cr - imps outward settlement,IMPS BOUNCED
dmr rev 226614001875 9198355 akshay kum transfer cr - imps outward settlement,IMPS BOUNCED
dmr rev 226614001887 9198355 akshay kum transfer cr - imps outward settlement,IMPS BOUNCED
dmr rev 226614001972 9198355 akshay kum transfer cr - imps outward settlement,IMPS BOUNCED
dmr rev 226614002078 9198355 akshay kum transfer cr - imps outward settlement,IMPS BOUNCED
dmr rev 226615000258 9198355 akshay kum transfer cr - imps outward settlement,IMPS BOUNCED
imps/na/xxxx5275/rrn:206017998118/pa558334394235347119/axis bank/mountain home/loan return,IMPS BOUNCED
imps/na/xxxx9307/rrn:206712636548/pa617318519003196228/axis bank/neergiriinfrastruct/loan return share market,IMPS BOUNCED
imps/na/xxxx5275/rrn:209215969247/pa834549876103490785/axis bank/mountain home/return payment,IMPS BOUNCED
imps/na/xxxx9307/rrn:209215976868/pa216521961483725789/axis bank/neergiriinfrastruct/return payment,IMPS BOUNCED
imps/na/xxxx9307/rrn:209922984137/pa897084375804106275/axis bank/neergiriinfrastruct/loan return,IMPS BOUNCED
imps/na/xxxx9307/rrn:210021879877/pa136300488083431982/axis bank/neergiriinfrastruct/loan return,IMPS BOUNCED
imps/na/xxxx2755/rrn:210707649402/r0000000000300079846/icici bank/rrgbuilders/return,IMPS BOUNCED
rev-imps-205522301970-prashanth r-utib-x xxxxxxxxxxx2607-vv,IMPS BOUNCED
rev-imps-205715393976-prashanth r-sbin-x xxxxxx1030-a,IMPS BOUNCED
imp rev 215722240032  4098634 daminiben   own transfer cr -  imps outward  settlement,IMPS BOUNCED
rev-imps-224521375858-devika r bhavsar-y esb-xxxxxxxxxxxx7236-payment,IMPS BOUNCED
rev-imps-224521305111-devika r bhavsar-y esb-xxxxxxxxxxxx7236-payment,IMPS BOUNCED
imps-rib/ft-rev/923618551721/google,IMPS BOUNCED
money received using imps transaction id : m1127474 imps reference no : 221819053494 remarks : imps return money,IMPS BOUNCED
imps/na/xxxx3194/rev/rrn:226806887830/27878404390387319737/indianoverseas bank//mobtxn,IMPS BOUNCED
imps/p2a/219214304082/prem/hdfcbank/rt,IMPS BOUNCED
imps/p2a/219217306164/prem/hdfcbank/rt,IMPS BOUNCED
imps/p2a/219516362557/prem/hdfcbank/rt,IMPS BOUNCED
imps/p2a/219516386780/prem/hdfcbank/rt,IMPS BOUNCED
imps/p2a/219517301291/prem/hdfcbank/rt,IMPS BOUNCED
imps/p2a/223716339324/prem/hdfcbank/rt,IMPS BOUNCED
imps/p2a/227812301355/prem/hdfcbank/rt,IMPS BOUNCED
rev-imps-224315384393-arun das-kkbk-xxxx xx4346-ok,IMPS BOUNCED
imps-rev/227319562172/hpsc0000124/12410107709,IMPS BOUNCED
imps-rev/227319562266/hpsc0000124/12410107709,IMPS BOUNCED
imps-rev/227319562448/hpsc0000124/12410107709,IMPS BOUNCED
 rev:imps 918085389154 ref  211814340705 ,IMPS BOUNCED
 rev:imps 917050446654 ref  211814345399 ,IMPS BOUNCED
imps-rib/ft-rev/226211688302/108001314077gscb/,IMPS BOUNCED
imps-rib/ft-rev/226211689073/108001314077gscb/,IMPS BOUNCED
   return-imps/724715243902/celebi del   -,IMPS BOUNCED
   return-imps/821318276599/saga icici   ,IMPS BOUNCED
   return-imps/825615461181/concor/cit   ,IMPS BOUNCED
   return-imps/917717217569/icici cc h   ,IMPS BOUNCED
   return-imps/815514247450/rankit sin   ,IMPS BOUNCED
   return-imps/815514247573/rankit sin   ,IMPS BOUNCED
   return-imps/724214106068/container   ,IMPS BOUNCED
   return-imps/724214106306/concor/cit   ,IMPS BOUNCED
   return-imps/724216109822/concor/cit   ,IMPS BOUNCED
   return-imps/724311126353/concor/cit   ,IMPS BOUNCED
   return-imps/724715243561/celebi del   ,IMPS BOUNCED
   return-imps/724715244179/celebi del   ,IMPS BOUNCED
   return-imps/724715245169/celebi del   ,IMPS BOUNCED
   return-imps/725011337605/concor/cit   ,IMPS BOUNCED
   return-imps/725110367048/concor/cit   ,IMPS BOUNCED
   return-imps/726810406156/container   ,IMPS BOUNCED
   return-imps/728212405661/c h robins   ,IMPS BOUNCED
   return-imps/728213405693/c h robins   ,IMPS BOUNCED
   return-imps/818012761446/techno pro   -,IMPS BOUNCED
   return-imps/815920404522/kotak cred   ,IMPS BOUNCED
   return-imps/902314764396/niraj mish   ,IMPS BOUNCED
   rev imps 907419475837 shashi s   ,IMPS BOUNCED
   return-imps/908618296727/bobin and   ,IMPS BOUNCED
imps-226517166353-yogender kumar-icic-xx xxxxxx7735-return,IMPS BOUNCED
imps-228616116063-yogender kumar-icic-xx xxxxxx7735-return ipo payment,IMPS BOUNCED
rev-imps-221414379660-salary personal pv t ltd-ubin-xxxxxxxxxxx0825-salary loan b ank charges,IMPS BOUNCED
imps-225014360920-sarik-sbin-xxxxxxxxxxx xx7624-credit return,IMPS BOUNCED
 rev:imps 0037101000046499 ref  221616696650 ,IMPS BOUNCED
rev-imps-227319355414-rajesh d-ibkl-xxxx xxxxxxxx0217-coinswitch,IMPS BOUNCED
imps-219618399581-sathish kumar s-kvbl-x xxxxxxxxxxx0377-return,IMPS BOUNCED
   return-imps/724715243902/celebi del   ,IMPS BOUNCED
   return-imps/809419124349/ram kumar   ,IMPS BOUNCED
   return-imps/809420124439/ram kumar   ,IMPS BOUNCED
   return-imps/811113216035/dcsc/andhr   ,IMPS BOUNCED
 000000000000 rev-imps/p2a/119310007503/9180   ,IMPS BOUNCED
imps-218217338072-nagoor meeran k-kkbk-x xxxxx8562-return,IMPS BOUNCED
rev imps-221512374299-icic-xxxxxxxx2863-money transfer,IMPS BOUNCED
rev imps-221512374455-icic-xxxxxxxx2863-money transfer,IMPS BOUNCED
mb/imps/dr/rev-broaxis/utib/**4159//23/05/2022  ,IMPS BOUNCED
mb/imps/dr/rev-broaxis/utib/**4159//24/05/2022  ,IMPS BOUNCED
rev-imps-229409377319-shashank mishra-cb in-xxxxxx3703-gift,IMPS BOUNCED
rev-imps-229410106357-shashank mishra-cb in-xxxxxx3703-gift,IMPS BOUNCED
 rev:imps 1846102100000117 ref  211215485157 ,IMPS BOUNCED
"mb/imps/dr/rev-jagmohansingh/punb/**1267/ /01/07/2022  4,",IMPS BOUNCED
"mb/imps/dr/rev-jagmohansingh/punb/**1267/sand/01/07/2022  4,",IMPS BOUNCED
mb/imps/dr/rev-sand/sbin/**4866/ /12/07/2022 ,IMPS BOUNCED
dmr rev 221913000946 2446386 girdhari j transfer cr - imps outward settlement,IMPS BOUNCED
imps/na/xxxx7963/rev/rrn:135623753008/r0000000000297017517/idbi bank//transfer munakhan,IMPS BOUNCED
imps/na/xxxx7963/rev/rrn:135700754255/r0000000000297017519/idbi bank//transfer,IMPS BOUNCED
imps/na/xxxx1936/rev/rrn:206109847401/1646193412716/central bank ofindi//rahmat khan udhar,IMPS BOUNCED
imps/na/xxxx6156/rev/rrn:207220767912/pa199396369760597516/idbi bank//transfer,IMPS BOUNCED
imps/na/xxxx7636/rev/rrn:211915907839/pa161224769366478370/central bank of indi//nausad,IMPS BOUNCED
imps/na/xxxx7636/rev/rrn:211915908665/pa106709851097925920/central bank of indi//nausad,IMPS BOUNCED
imps/na/xxxx7636/rev/rrn:211915909007/pa106735710475268478/central bank of indi//nausad,IMPS BOUNCED
imps/na/xxxx4414/rev/rrn:225721639546/pa137376962940136068/central bank of indi//barkatsajda khatun,IMPS BOUNCED
imps-mob/fund trf/208817256715/mukesh/2202153000006364/ret,IMPS BOUNCED
rev/imps-p2a/130211870577/31710401857/29/10/2021,IMPS BOUNCED
rev/imps-p2a/130211266220/31729313799/29/10/2021,IMPS BOUNCED
rev/imps-p2a/203614793355/5020001735116/05/02/2022,IMPS BOUNCED
rev/imps-p2a/204512817500/007130401000385/14/02/2022,IMPS BOUNCED
rev/imps-p2a/204512612189/007130401000385/14/02/2022,IMPS BOUNCED
rev/imps-p2a/206315552390/624401514239/04/03/2022,IMPS BOUNCED
rev/imps-p2a/206315686075/624401514239/04/03/2022,IMPS BOUNCED
rev/imps-p2a/211212706338/502000017353116/22/04/2022,IMPS BOUNCED
saarthana - surat imps/222616655386/shreeram/the sute/xx6400/rt to,IMPS BOUNCED
saarthana - surat imps/222616655995/shreeram/the sute/xx6400/rt to,IMPS BOUNCED
imps/na/xxxx3420/rrn:133516629792/1638357438183/union bank ofindia/maksud pathan/return,IMPS BOUNCED
imps/na/xxxx3420/rrn:136217808347/1640692415414/union bank ofindia/maksud pathan/return,IMPS BOUNCED
imps/na/xxxx7408/rrn:221313717739/1659341768488/hdfc bank/krishna treaders/return,IMPS BOUNCED
imps/return/mohammad vasim mohma/xxx6992/rrn:228011257145/kotak mahindra bank,IMPS BOUNCED
imps/na/xxxx0013/rev/rrn:229111790782/6660721894045/union bank ofindia//na,IMPS BOUNCED
imps/na/xxxx0013/rev/rrn:229111793384/6660722629317/union bank ofindia//na,IMPS BOUNCED
imps/na/xxxx0013/rev/rrn:229112878797/6660747568231/union bank ofindia//na,IMPS BOUNCED
imps/na/xxxx1775/rrn:229112882495/6660748571837/icici bank/ghanshyam electronic/ret,IMPS BOUNCED
rev-imps-229310380149-shri ganesh dairy- sbin-xxxxxxx3702-mlik,IMPS BOUNCED
trf  imps dr reversal202401387135 24 01 2022,IMPS BOUNCED
imps/na/xxxx4032/rev/rrn:206212647955/1646292340827/icicollections//digicoinz,IMPS BOUNCED
imps/na/xxxx4032/rev/rrn:206213661372/1646292683187/icicollections//digi,IMPS BOUNCED
imps/na/xxxx4032/rev/rrn:211809694824/1651118060900/icicollections//digicoinz,IMPS BOUNCED
imps/na/xxxx3691/rev/rrn:227311857071/pa374686271465264183/hdfc bank//approx techpay 158,IMPS BOUNCED
imps/na/xxxx3656/rrn:228809744043/6658081071674/hdfc bank/darshan b gondaliya/deposit return approx,IMPS BOUNCED
imps/na/xxxx5129/rrn:228809744113/6658081081674/bank of india/hetaben chandrakantb/deposit return approx,IMPS BOUNCED
imps-222009131225-ramaben chandreshbhai patel-idib-xxxxxxx7808-loan return,IMPS BOUNCED
imps-222009131575-ramaben chandreshbhai patel-idib-xxxxxxx7808-loan return,IMPS BOUNCED
bytransfer-inbimps900421956935/9811546380/xx4579/return-,IMPS BOUNCED
rev:imps 11180081 ref 905212297266 ,IMPS BOUNCED
rev:imps 11180081 ref 905212298785 ,IMPS BOUNCED
rev-imps-204115143780-rich graviss produ cts pvt ltd-citi-xxxxxxx0042-ss rich on ac,IMPS BOUNCED
rev-imps-205312130427-rich graviss produ cts pvt ltd-citi-xxxxxxx0042-ss rich on ac,IMPS BOUNCED
rev-imps-226517174747-rich graviss produ cts pvt ltd-citi-xxxxxxx0042-ss rgpl on ac,IMPS BOUNCED
imps-217321318598-pramukh electronics-kk bk-xxxxxx5687-return,IMPS BOUNCED
mb/imps/dr/rev-birindakumari/ifsc/**2094//30/09/2022  ,IMPS BOUNCED
"mb/imps/dr/rev-bibi rajdaali/utbi/**4588/ /11/10/2022 2,",IMPS BOUNCED
ib-imps-dr rev/1040/**9790 /25/03/2022 15:28:35,IMPS BOUNCED
ib-imps-dr rev/1040/**9790 /01/04/2022 14:56:56,IMPS BOUNCED
imps chargesreversal/209114336873/01/04/202214:56:56,IMPS BOUNCED
ib-imps-dr rev/1040/**9790 /01/04/2022 14:58:16,IMPS BOUNCED
imps chargesreversal/209114337340/01/04/202214:58:16,IMPS BOUNCED
ib-imps-dr rev/2702/**8597 /19/04/2022 17:05:09,IMPS BOUNCED
ib-imps-dr rev/2702/**8597 /19/04/2022 17:07:46,IMPS BOUNCED
imps-rib/ft-rev/200320026825/159999819023indb/,IMPS BOUNCED
imps-rib/ft-rev/204309251839/158587979622indb/,IMPS BOUNCED
rev-imps-227309112812-impack polypack-ye sb-xxxxxxxxxx0361-impack polypack,IMPS BOUNCED
imps-235717303295-shree ram tyres-kkbk-x xxxxx7922-return payment,IMPS BOUNCED
imps-235817326315-shree ram tyres-kkbk-x xxxxx7922-return payment,IMPS BOUNCED
by transfer /imps/p2a/304913380142/return/hiren korattransfer from 97157053099,IMPS BOUNCED
credit by imps ret 306322652437 05 03 23,IMPS BOUNCED
rev-imps-227419183114-goyal bright steel s-utib-xxxxxxxxxxx7769-163993,IMPS BOUNCED
rev-imps-227419184244-goyal bright steel s-utib-xxxxxxxxxxx7769-bill no 22230307,IMPS BOUNCED
by transfer/imps/rev/221715490841/transferfrom97158030626,IMPS BOUNCED
by transfer/impscommissionreversal/rrn/221715490841transferfrom88907030623,IMPS BOUNCED
by transfer/imps/rev/221715491017/transferfrom97158030626,IMPS BOUNCED
by transfer/impscommissionreversal/rrn/221715491017transferfrom88907030623,IMPS BOUNCED
by transfer/imps/rev/221715491684/transferfrom97158030626,IMPS BOUNCED
by transfer/impscommissionreversal/rrn/221715491684transferfrom88907030623,IMPS BOUNCED
by transfer/imps/rev/221715494032/transferfrom97158030626,IMPS BOUNCED
by transfer/impscommissionreversal/rrn/221715494032transferfrom88907030623,IMPS BOUNCED
by transfer/imps/rev/234817287771/ transferfrom 97158030626,IMPS BOUNCED
by transfer/impscommissionreversal/rrn/234817287771transfer from88907030623,IMPS BOUNCED
by transfer/imps/rev/303119220292/ transferfrom 97158030626,IMPS BOUNCED
by transfer/impscommissionreversal/rrn/303119220292transfer from88907030623,IMPS BOUNCED
imps rev 301513509003,IMPS BOUNCED
rev-imps-209207376775-kmb technocast axi 0000209207376775 s cc account-utib-xxxxxxxxxxx9491-kmb te cnocast axis,IMPS BOUNCED
rev-imps-209207392858-kmb technocast axi 0000209207392858 s cc account-utib-xxxxxxxxxxx9491-kmb te chnocast,IMPS BOUNCED
rev-imps-209209134513-kmb technocast axi 0000209209134513 s cc account-utib-xxxxxxxxxxx9491-kmb te chnocast,IMPS BOUNCED
imps-303212968309-suseela-fdrl-xxxxxxxxx x1206-hand lian return,IMPS BOUNCED
